index,tm,num_atms,r2extent,edmn,eqmn,total_energy,hlg,cpe,cce,cde,cre,ctne,smd
106,295.15,57,13537.7575,0.177173531,4.95873418,-821.9760268,0.23769,-3.62,54.82,-36.26,2.89,21.45,7.16
107,285.15,27,2772.0557,0.290807531,7.057202601,-503.8563875,0.17463,-4.57,29.25,-21.38,1.67,9.54,4.79
108,273.75,15,4817.762,2.121882678,8.437990062,-2109.906668,0.20336,-4.25,26.1,-19.48,1.57,8.19,3.18
109,393.15,15,5656.67,1.221507454,4.952426689,-3488.655665,0.19282,-4.57,31.03,-23.39,1.83,9.48,3.42
110,417.15,37,9224.7828,3.850746777,19.70229726,-863.2329958,0.15113,-14.97,39.14,-28.82,2.18,12.5,5.84
111,340.15,57,13845.5908,3.420635059,32.26633803,-1157.51496,0.19843,-21.23,56.33,-36.09,2.84,23.08,9.4
112,351.15,23,2327.3047,2.51906987,9.989636909,-500.6426519,0.20949,-9.96,25.77,-18.79,1.53,8.51,5.1
113,320.15,23,2222.4981,2.221183349,6.822541543,-500.6423471,0.21426,-9.41,25.49,-18.65,1.51,8.36,5.05
114,526.15,39,8490.092,6.2540695,17.01100012,-1026.886343,0.16505,-21.32,43.05,-29.06,2.19,16.18,6.8
115,389.15,29,5666.8456,2.417439741,16.28762954,-783.4615769,0.16329,-10.94,34.08,-24.02,1.82,11.87,6.52
116,255.05,23,1970.8272,2.915066183,10.02866031,-463.5320187,0.19103,-8.03,25.69,-18.75,1.49,8.43,5.18
117,432.15,17,2338.5986,4.141968021,8.352500278,-935.7671213,0.16499,-11.24,22.36,-17.48,1.38,6.26,4.52
118,407.15,31,6434.9768,8.338265303,20.75568181,-726.6082183,0.09296,-15.03,34.73,-25.34,1.94,11.33,4.96
119,457.15,71,16729.2134,4.366646582,38.07422823,-1602.325406,0.17674,-26.93,63.47,-40.35,2.97,26.09,11.55
120,383.15,48,11609.9329,3.53780847,16.63779586,-1441.955822,0.18798,-12.06,50.12,-33.77,2.59,18.95,6.68
121,378.15,21,2063.1133,3.837716849,12.70107947,-420.6247199,0.2868,-12.42,22.16,-16.87,1.4,6.69,3.59
122,303.15,33,4154.9707,1.432269029,9.087947492,-636.5921488,0.2163,-9.61,34.71,-24.22,1.91,12.4,4.14
123,315.15,30,2375.9652,3.596417226,12.85380233,-521.4841298,0.28486,-8.43,28.1,-20.24,1.58,9.44,4.69
124,361.65,24,1665.273,2.135675795,4.791792482,-463.6983958,0.26756,-10.56,24.28,-18.17,1.49,7.61,3.98
125,288.75,32,4774.1026,3.989957777,10.56655295,-1313.531928,0.30625,-7.98,36.06,-24.3,2.01,13.77,4.07
126,182.15,16,831.9221,3.478759148,9.115221112,-308.8878429,0.30302,-9.34,17.84,-13.57,1.19,5.47,3.22
127,411.15,36,3883.7614,3.616076556,10.56267641,-617.1804812,0.28348,-11.57,34.07,-24.7,1.96,11.34,4.78
128,589.15,35,4642.522,4.438382235,19.86292126,-766.2384384,0.20001,-13.69,34.31,-25.65,2,10.65,5.51
129,401.15,23,4672.9626,1.511429287,18.10346596,-1436.837774,0.18962,-11.44,31.18,-21.93,1.75,11,6.12
130,342.15,12,1463.4787,4.802342747,9.798114712,-418.6050985,0.21101,-12.23,17.27,-12.68,1.07,5.66,5.77
131,658.15,22,21999.2526,0,5.996158557,-16956.46116,0.16885,-6.31,44.13,-33.9,2.53,12.76,1.28
132,649.15,22,28108.097,0,3.956473322,-21178.88211,0.16312,-6.53,44.96,-34.93,2.6,12.63,-0.05
133,381.15,31,4795.3453,4.372387495,18.29974475,-651.6409184,0.16284,-13.78,32.42,-24,1.86,10.28,1.96
134,194.35,32,3599.0834,1.820330997,13.3808699,-543.6055139,0.27721,-6.23,33.8,-22.12,1.82,13.5,6.1
135,304.15,31,4632.204,1.504981837,10.54494056,-618.3727025,0.16548,-6.43,33.41,-24.08,1.87,11.2,5.58
136,353.45,18,1982.9432,2.586100839,13.70572424,-497.2152606,0.22888,-14.47,22.05,-16.65,1.35,6.75,5.31
137,353.15,20,2334.5291,1.145834779,4.761119581,-387.090672,0.18952,-4.16,22.89,-17.11,1.38,7.17,3.59
138,260.65,23,2693.8831,2.038315297,10.83632823,-826.4171857,0.27281,-10.22,28.92,-18.16,1.63,12.4,8.37
139,237.15,36,4841.3352,0.241740232,4.824068195,-546.7742385,0.23737,-3.34,36.38,-24.81,1.99,13.56,5.2
140,400.15,24,2711.8573,0.501305675,13.87653516,-613.7588625,0.14818,-8.78,27.57,-20.32,1.55,8.8,5.65
141,347.65,104,38256.4452,0.945077357,12.64553409,-1902.214301,0.32452,-14.14,99.84,-58.52,4.65,45.97,14.34
142,335.45,18,3995.7538,2.274199475,5.674014155,-1305.076602,0.16959,-4.37,25.47,-19.35,1.51,7.64,3.52
143,479.15,64,14078.4118,5.12839923,27.41620775,-2032.322528,0.18404,-21.63,58.04,-38.92,2.79,21.92,10.29
144,409.15,40,6608.5027,6.077257992,11.45009009,-901.8260324,0.15672,-18.73,41.81,-28.72,2.27,15.36,9.18
145,223.25,24,1641.6168,0.031578474,0.503981795,-314.5134162,0.36091,-0.56,23.15,-17.14,1.41,7.41,3.34
146,183.05,24,1423.9136,0.028859141,0.364828933,-314.5097741,0.35432,-0.58,22.73,-17.17,1.41,6.97,3.29
147,236.25,24,1265.6273,0.080372446,0.459892346,-314.5138759,0.36114,-0.56,23.16,-17.28,1.43,7.31,3.33
148,356.15,19,2636.794,4.336925848,13.48547269,-1267.380713,0.27982,-13.34,23.77,-17.73,1.46,7.5,3.51
149,337.15,19,1283.6196,3.535314293,6.370156396,-365.241331,0.21012,-10.63,21.98,-15.67,1.32,7.63,4.96
150,375.15,33,4973.3106,1.750741397,13.55149645,-764.9780222,0.1895,-14.39,36.18,-25.29,2,12.89,6.95
151,193.15,14,1334.3208,3.267701829,5.942391379,-1077.650707,0.30087,-7.06,19.6,-14.6,1.25,6.25,2.87
152,350.65,28,4351.8912,8.072341609,23.62929489,-649.3576897,0.14572,-12.47,30.48,-22.2,1.73,10.01,7.08
153,447.15,23,2140.4406,1.723475703,9.590571317,-480.5607046,0.15859,-7.42,25.53,-19.28,1.5,7.75,3.42
154,222.25,32,3829.8902,1.912497658,12.32477162,-543.6044103,0.27856,-6.19,33.74,-23.04,1.93,12.63,6.24
155,449.15,20,1922.7522,3.896362337,13.35419005,-515.5007396,0.16229,-13.66,23.51,-17.79,1.43,7.14,5.01
156,311.15,24,1797.0026,1.576898228,8.303536285,-443.6726312,0.20845,-7.24,24.88,-19.01,1.52,7.39,3.24
157,304.15,28,2313.1419,1.717377093,9.488326731,-504.0527561,0.21972,-6.44,28.35,-20.64,1.62,9.34,5.24
158,361.65,26,4119.1681,2.872016941,17.38536826,-652.8440508,0.1561,-9.2,29.4,-22.09,1.64,8.94,4.95
159,395.15,20,9106.326,0.998351086,2.509418945,-4982.853312,0.13813,-3.6,40.5,-27.85,2.13,14.79,4.21
160,243.15,9,1747.9814,2.184553204,8.318000506,-1496.662566,0.2456,-3.31,18.22,-13.62,1.16,5.76,2.96
161,471.15,18,9161.3392,0.0003,0.635005291,-4062.536292,0.14322,-3.56,35.55,-27.34,2.07,10.28,3.95
162,209.15,22,1891.006,0.510440369,6.553878918,-388.2915617,0.18837,-3.88,24.85,-17.95,1.44,8.35,4.95
163,317.15,20,1150.7488,4.273826375,13.53363292,-366.217234,0.33584,-7.85,21.54,-15.91,1.3,6.93,4.12
164,394.15,21,2602.5189,3.237931403,11.83710369,-537.3333336,0.15442,-8.4,24.71,-18.54,1.43,7.6,4.22
165,293.55,59,9314.4994,1.934286075,7.029153972,-897.4284851,0.28174,-6.74,56.39,-34.54,2.77,24.62,8.11
166,488.15,17,2109.0307,3.320960049,8.058097178,-741.1629783,0.20217,-8.11,22.63,-17.33,1.4,6.69,0.98
167,425.15,29,2479.159,1.277846877,7.859236812,-484.1926183,0.20268,-6.97,28.54,-21.38,1.68,8.84,4.59
168,483.15,30,3520.0559,2.046280826,12.67799408,-617.4024944,0.20644,-9.67,30.82,-22.35,1.75,10.21,6.09
169,322.15,23,3767.8551,3.515066762,11.83819467,-612.7680655,0.1927,-11.39,28.03,-19.8,1.59,9.82,6.64
170,386.15,26,3958.0241,6.525884274,19.77307446,-727.0864591,0.19525,-13.1,30.68,-22.07,1.71,10.32,6.53
171,318.65,23,2861.9463,3.129370815,16.00454197,-517.6443876,0.21808,-12.21,27.48,-19.2,1.55,9.83,6.05
172,360.15,22,3806.6829,1.370989767,9.912811251,-537.540824,0.18775,-10.93,26.98,-19.58,1.58,8.97,5.84
173,390.15,22,2181.8483,1.209673348,9.337310237,-496.5639863,0.16529,-9.66,25,-18.64,1.46,7.82,4.24
174,393.15,22,2260.9649,0.789643141,13.80174312,-496.605533,0.1469,-12.6,24.8,-18.88,1.48,7.4,3.83
175,463.15,22,2221.9903,2.235958812,14.05465235,-496.6086462,0.15811,-13.09,24.67,-18.89,1.48,7.26,3.78
176,341.15,26,2888.4895,2.20601323,9.31704633,-519.8969047,0.1792,-7.21,28.71,-21.07,1.66,9.29,3.41
177,470.15,27,3363.6444,1.589922508,14.28401113,-665.4740868,0.211,-19.43,31.09,-21.22,1.71,11.58,5.11
178,248.15,31,3800.561,0.855378267,4.041262483,-431.1753148,0.31403,-3.88,32.72,-22.4,1.86,12.18,6.11
179,305.15,23,2826.3729,1.750337813,7.825686424,-480.5716601,0.15839,-8.67,25.36,-19.21,1.49,7.64,3.88
180,363.15,18,2254.3674,5.212842889,10.58531315,-1160.212393,0.16503,-10.85,24.66,-19.4,1.43,6.69,2.84
181,292.15,28,3024.1377,4.147525535,17.10087173,-541.1396917,0.22538,-13.59,30.23,-20.99,1.73,10.97,6.55
182,507.15,40,13395.2896,10.77151465,35.59774488,-2264.658904,0.18379,-34.6,45.2,-33.51,2.42,14.11,3.91
183,290.15,14,2402.2196,3.000667003,7.449503344,-635.2067678,0.17458,-6.59,20.69,-14.98,1.15,6.86,6.99
184,302.15,13,2214.7357,2.604129732,13.41595476,-605.1508135,0.22636,-8.69,19.32,-14.03,1.07,6.37,5.35
185,342.65,28,9130.2512,1.864358842,20.36039625,-2409.949234,0.19851,-13.45,40.07,-27.32,2.14,14.89,9.39
186,301.65,36,6578.7401,6.044629774,25.51556773,-1773.25096,0.21066,-17.05,42.62,-28.43,2.18,16.37,6.87
187,316.15,34,5505.7279,4.40903128,13.52859355,-1809.148876,0.22146,-18.23,39.91,-27.36,2.05,14.6,8.47
188,329.15,21,6071.6242,3.031725154,8.257877096,-2076.302206,0.21238,-10.51,32.07,-22.93,1.69,10.83,5.16
189,483.15,28,10778.1068,3.930273945,16.6545056,-3080.37737,0.18069,-16.23,42.52,-29.21,2.28,15.59,6.84
190,350.65,27,2986.219,1.503866563,6.428887084,-578.071989,0.2349,-7.24,29.61,-21.04,1.7,10.27,6.38
191,199.05,31,3666.6738,0.181110657,4.359502575,-431.1905243,0.2963,-3.09,32.9,-22.3,1.88,12.48,5.18
192,449.15,23,2671.5365,3.700721673,9.220895725,-649.8900175,0.17331,-15.08,26.29,-19.84,1.56,8.01,6.03
193,386.15,67,18268.6111,0.338375029,29.24777757,-1276.50047,0.24374,-12.75,59.73,-39.92,3,22.81,10.37
194,298.15,32,8282.3512,3.117668157,3.540214405,-1839.864593,0.21872,-8.72,38.67,-26.35,2.06,14.39,7.08
195,302.15,32,11755.4025,3.960502122,7.701256973,-2299.440764,0.21298,-7.79,40.2,-28.1,2.18,14.28,6.76
196,255.05,50,11857.9628,1.620936523,10.45919798,-779.4965156,0.28284,-6.48,49.92,-33.68,2.75,18.99,7.79
197,320.95,36,10266.4345,3.266324534,21.68678785,-2419.97108,0.20022,-16.77,46.35,-31.28,2.32,17.4,7.24
198,344.15,39,6239.3985,3.305409731,13.59464839,-922.4609925,0.1815,-11.68,42.24,-27.48,2.15,16.91,7.29
199,353.15,21,1276.8061,3.568349979,7.930175451,-461.5567025,0.26712,-11.86,22.57,-16.52,1.35,7.41,4.98
200,299.15,18,1347.1696,1.390898019,16.39709221,-439.3040005,0.23949,-11.14,21.43,-15.61,1.31,7.13,5.02
201,221.55,24,2892.4934,2.023358779,11.77520708,-538.7686032,0.21388,-7.05,27.86,-20.01,1.62,9.46,5.73
202,455.15,27,5439.8791,2.505934502,17.36083092,-727.2700671,0.15365,-13.81,31.93,-22.85,1.81,10.89,8.48
203,381.15,33,4490.4868,3.496468969,22.19069242,-523.7401038,0.27711,-12.07,34.02,-23.66,1.96,12.33,5.69
204,565.15,15,2868.0895,3.252167274,11.97590626,-453.144633,0.16361,-569347.99,29.18,-25.11,1.89,5.97,3.74
205,314.15,20,1800.9621,1.805711001,9.92198011,-637.7747828,0.28161,-8.52,24.62,-14.97,1.38,11.03,6.92
206,355.15,9,1199.8783,3.341266787,5.643736725,-726.7472436,0.21785,-13.16,15.94,-11.91,1.05,5.09,4.41
207,172.15,13,1096.3848,0.728247197,5.787693533,-609.580095,0.2315,-5.67,17.31,-13.82,1.14,4.63,-0.49
208,139.15,14,612.1343,1.842923824,3.454009598,-257.6912242,0.39042,-2.75,16.56,-12.17,1.08,5.46,3.37
209,225.15,12,2704.9959,1.244803896,6.174284261,-629.1596647,0.23088,-2.97,18.88,-13.44,1,6.44,5.4
210,440.15,25,2498.863,3.413471154,9.848823747,-725.3259737,0.22348,-16.68,26.2,-19.81,1.57,7.96,4.99
211,378.15,22,2610.2421,0.60737635,11.63904478,-496.6121005,0.1784,-7.29,25.43,-18.99,1.5,7.93,1.45
212,314.15,24,2709.468,3.728809704,9.353534698,-575.8326835,0.21035,-13.1,27.11,-19.75,1.6,8.96,5.55
213,425.15,33,6234.9263,0.561642137,14.17397325,-732.5034231,0.13908,-7.27,35.67,-26.51,1.95,11.11,5.13
214,429.15,33,5967.9442,0.282091155,14.71365566,-732.5021684,0.13773,-7.17,35.36,-26.26,1.92,11.02,5.05
215,411.15,21,1845.0557,5.216042896,8.173562836,-441.4636165,0.19345,-13.86,23.78,-17.45,1.41,7.73,4.96
216,236.15,38,7509.0235,2.409605831,17.29760474,-846.3887206,0.26406,-13.07,38.1,-27.56,2.16,12.7,5.21
